sku,titulo,categoria,precio_mayorista_ars,stock_disponible,moneda,imagen_url,producto_url,actualizado_at
A498,Manta Termica Emergencia Supervivencia 130 X 210 Mts Metalic,Camping,2500,500,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_956953-MLA76659278246_062024-O-1.webp,https://oportunidadeszeat.com.ar/producto/manta-termica-emergencia-supervivencia-130-x-210-mts-metalic/,2026-07-19 12:33:40 -03:00
MD02,Llavero Silbato De Emergencia Metálico Compacto Tactico Plateado,Camping,4300,399,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_831712-MLA109129941244_042026-O.webp,https://oportunidadeszeat.com.ar/producto/llavero-silbato-de-emergencia-metalico-compacto-tactico-plateado/,2026-07-19 12:33:40 -03:00
A497,Sierra Para Supervivencia Cable Cuerda Cuchillo De Acero,Camping,2700,381,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_959344-MLA31023431274_062019-O.jpg,https://oportunidadeszeat.com.ar/producto/sierra-para-supervivencia-cable-cuerda-cuchillo-de-acero/,2026-07-19 12:33:40 -03:00
A499N,Lapicera Tactica Kubotan Tactical Pen Defensa Personal  Negro,Camping,5300,367,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_673715-MLA93164731661_092025-O.jpg,https://oportunidadeszeat.com.ar/producto/lapicera-tactica-kubotan-tactical-pen-defensa-personal-negro/,2026-07-19 12:33:40 -03:00
A522,Bolsa De Dormir De Emergencia Vivac Saco Cobertor Plateado,Camping,3900,309,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_635979-MLA109595821611_032026-O.webp,https://oportunidadeszeat.com.ar/producto/bolsa-de-dormir-de-emergencia-vivac-saco-cobertor-plateado/,2026-07-19 12:33:40 -03:00
A1,Torniquete Primeros Auxilio Botiquin Kit Curacion Emergencia Negro,Camping,6800,107,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_632089-MLA81623339150_012025-O.webp,https://oportunidadeszeat.com.ar/producto/torniquete-primeros-auxilio-botiquin-kit-curacion-emergencia-negro/,2026-07-19 12:33:40 -03:00
A307,Tijera Sastre Modista Zig Zag Para Tela Cuerina  22 Cm,Costura y Sastrería,10900,215,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_701463-MLA31010825544_062019-O-1.webp,https://oportunidadeszeat.com.ar/producto/tijera-sastre-modista-zig-zag-para-tela-cuerina-22-cm/,2026-07-19 12:33:40 -03:00
A307C,Tijera Zig Zag Corte Semicírculo Ondas Tela Manualidades Plateado,Costura y Sastrería,11100,104,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_955149-MLA109129668376_042026-O.jpg,https://oportunidadeszeat.com.ar/producto/tijera-zig-zag-corte-semicirculo-ondas-tela-manualidades-plateado/,2026-07-19 12:33:40 -03:00
A710,Tijera Costura 7 Pulgadas 17 Cm Acero Inoxidable Zeat Plateado,Costura y Sastrería,11800,40,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_842762-MLA93206009783_092025-O.jpg,https://oportunidadeszeat.com.ar/producto/tijera-costura-7-pulgadas-17-cm-acero-inoxidable-zeat-plateado/,2026-07-19 12:33:40 -03:00
S8P,Navaja De Afeitar Zeat Acero Inoxidable Profesional Plateado,Peluquería,4700,395,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/05/D_648605-MLA109969962199_042026-O.jpg,https://oportunidadeszeat.com.ar/producto/navaja-de-afeitar-zeat-acero-inoxidable-profesional-plateado/,2026-07-19 12:33:40 -03:00
A712,Tijera Peluqueria Zeat Pulir 18 Cm Acero Inoxidable Diestro Plateado,Peluquería,11200,209,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_645853-MLA41050839989_032020-O.jpg,https://oportunidadeszeat.com.ar/producto/tijera-peluqueria-zeat-pulir-18-cm-acero-inoxidable-diestro-plateado/,2026-07-19 12:33:40 -03:00
A560,Peine De Corte De Aluminio Lucydan Anti-frizz Resistente Calor Plateado,Peluquería,6900,170,ARS,https://oportunidadeszeat.com.ar/wp-content/uploads/2026/04/D_950854-MLA87317634160_072025-O.jpg,https://oportunidadeszeat.com.ar/producto/peine-de-corte-de-aluminio-lucydan-anti-frizz-resistente-calor-plateado/,2026-07-19 12:33:40 -03:00
